id,name,date
20,Newbee.mgb,2016-08-19T23:14:38.000000Z
6188332,VALAK~,2017-05-14T14:45:01.000000Z
2277712,StarLucK.Fly,2011-11-09T04:54:08.000000Z
7683787,Jiklyar Jikle ZB!,2015-01-09T05:53:48.000000Z
6212214,Executioners v2,2014-03-19T10:56:06.000000Z
6209166,Team Aster,2014-01-07T02:07:08.000000Z
36,Natus Vincere,2014-01-31T16:10:10.000000Z
7404529,Reality Rift,2013-10-30T20:59:57.000000Z
2898453,KBU,2016-09-07T10:20:59.000000Z
7732977,BOOM Esports,2015-02-23T04:48:33.000000Z
7578716,Team Closer,2017-10-05T01:55:34.153Z
8097343,Boonz + Goonz,2020-10-24T15:30:29.003Z
2586976,OG,2015-03-27T17:53:36.000000Z
5894738,W.I.T.C.H.,2018-10-30T02:02:59.000000Z
8599645,ultraHD,2017-07-21T18:23:21.002Z
1143609,Team cnet,2021-02-20T18:02:43.480Z
6209804,Royal Never Give Up,2016-03-25T20:08:31.000000Z
5219641,Big God,2012-07-06T06:43:50.000000Z
5104445,Radiant Dota 2,2021-03-25T16:49:16.705Z
7781771,Cream Esports,2014-09-14T04:19:57.000000Z
8599809,KuCyJIbKu,2018-10-16T18:26:09.000000Z
7441121,flowers,2019-10-17T22:26:41.828Z
7554328,SEAMonkeys,2021-10-22T18:52:42.442Z
8591133,TWN-Esport,2017-09-12T22:39:56.000000Z
7683797,F.R.I.E.N.D.S,2017-02-28T16:36:35.160Z
7684194,DreamNameOff,2014-10-14T14:57:12.000000Z
8049504,Angel Alliance,2017-06-17T19:14:40.338Z
602634,Team Moriarty,2019-08-14T21:07:05.402Z
8599009,Tarzan Gang,2017-02-24T10:43:30.861Z
7682909,Benny + 4 ,2011-08-17T02:43:41.000000Z
6212110,HAPPY GUYS,2016-07-14T05:38:04.653Z
7684653,ANoNS,2011-04-21T05:13:43.000000Z
534136,New Guys,2021-03-24T11:59:30.828Z
8598633,CIS Rejects,2015-12-27T16:39:29.000000Z
8021531,CYBERIUM.S,2017-08-03T20:44:28.346Z
8606828,KBU.US,2019-08-22T03:17:41.951Z
46,Team Empire,2021-05-02T16:11:27.707Z
5015830,Helsinki REDS,2017-08-27T08:21:19.330Z
8261882,felt,2021-11-16T23:05:08.547Z
6765751,Belial Gaming,2021-08-21T18:33:22.171Z
7422789,HellRaisers,2017-11-18T05:06:59.000000Z
7685057,Sexy Monkeys,2019-09-19T03:31:43.497Z
7483630,Husky,2021-11-15T00:49:27.760Z
7395534,Real Deal E-Sports,2016-07-06T11:56:39.000000Z
8214850,T1,2013-03-24T14:38:58.000000Z
6713506,Kaban,2015-09-11T19:40:41.321Z
8272699,Simply TOOBASED,2020-04-08T01:17:18.932Z
7684392,UnderGods,2015-09-05T20:09:18.000000Z
8261397,No Bounty Hunter,2020-02-02T16:55:46.103Z
7186466,Sterling Global Dragons,2016-01-02T19:19:22.923Z
7468679,.,2017-08-08T12:06:12.000000Z
7563855,We Dislike Bears,2021-09-20T04:50:31.234Z
5098014, ,2017-12-20T19:32:19.000000Z
7453744,KHAN,2012-04-17T06:02:13.000000Z
8262126,Kasatiki,2020-11-02T10:29:10.735Z
7818220,Burger Flippers,2020-07-14T08:02:31.111Z
7035729,TEAM SOLID,2015-07-23T20:23:03.000000Z
8605863,Entity,2017-01-14T15:00:31.844Z
4914765,Olympos Gaming,2019-09-11T01:21:19.235Z
6074921,Team Uprising,2017-09-12T03:22:55.885Z
8025426,CR7,2011-11-26T13:36:12.000000Z
8496030,Furia Jovem,2019-01-10T00:08:25.340Z
8494848,Winter Bear,2011-04-04T21:23:53.000000Z
6240192,RAINHARD,2020-11-13T22:49:10.852Z
6092404,DTS Gaming,2014-07-04T22:14:14.000000Z
7390454,Quincy Crew,2021-08-16T07:43:28.543Z
6419766,Anbu,2011-07-22T04:05:35.000000Z
8262639,Electronic Boys,2021-01-04T08:45:37.144Z
7683660,Saints Pudges,2017-08-19T12:55:53.384Z
7298341,Anesthesia Team,2011-07-20T08:24:32.000000Z
7390797,?,2018-02-16T16:25:31.172Z
7668955,Looking for team,2019-01-07T23:21:53.910Z
2672298,Infamous U.esports.,2014-06-20T16:23:37.000000Z
7765503,123,2021-01-20T12:37:36.508Z
7682624,Shark Boys,2018-10-14T19:30:40.000000Z
7407581,No Pussy Squad ,2010-12-19T08:09:58.000000Z
350190,Fnatic,2011-06-11T17:33:12.000000Z
6926408,Reapers Team,2019-10-09T18:12:08.359Z
7682462,Made In Thailand,2015-10-18T16:41:40.369Z
8589621,Atomic eSports,2013-01-09T00:31:08.000000Z
8525778,Polaris Esports,2017-09-21T12:21:41.222Z
5892936,Team Xolotl,2018-06-13T23:11:51.964Z
314627,SwaG,2018-08-05T18:04:47.779Z
8230115,5ManMidas,2021-02-01T18:03:55.248Z
7683877,BKD,2012-04-11T15:44:46.000000Z
2371783,Taurus Gaming,2012-02-13T21:23:21.000000Z
8090442,LFT,2015-03-25T08:29:02.000000Z
7794384,QuestionMark,2017-03-04T22:10:13.000000Z
5,INVICTUS GAMING,2012-02-16T19:08:18.000000Z
5466126,LYNX TH,2018-12-19T09:21:58.486Z
7683672,Team Mafia,2020-01-14T10:02:38.500Z
7587693,Doctor,2021-03-11T17:31:52.626Z
8261197,Motivate.Trust Gaming,2013-07-28T08:42:35.000000Z
7252587,JinJok,2020-09-02T11:08:08.911Z
8261500,Xtreme  Gaming,2013-01-31T06:24:29.000000Z
8222896,Ωmega Esports,2011-03-30T10:08:07.000000Z
7684327,OK BOSS!,2014-02-13T02:28:23.000000Z
5063845,TaskUs TITANS,2016-03-15T11:11:19.512Z
8118983,phoenix gaming,2017-08-21T04:06:03.013Z
7684313,Team Sabog,2016-07-18T10:17:57.000000Z
8126533,YУFYУF.cΘм,2014-10-25T19:11:20.000000Z
7300389,Magician,2011-07-19T23:17:52.000000Z
8573357,LFT,2021-02-01T18:07:56.877Z
7781709,RONALDINHO EL MAGICO,2016-06-06T00:11:34.422Z
6493307,NINJA,2018-07-20T09:18:09.066Z
6980042,Team Oracle,2017-06-23T16:58:09.407Z
4647748,hahaAHAHA,2017-05-31T02:20:44.000000Z
7761033,Team Eclipse,2011-07-09T23:13:08.000000Z
5020794,BLUE PIKACHU,2018-08-12T02:08:33.608Z
7685100,Methylenedioxymethamphetamine,2012-01-01T06:28:40.000000Z
5805234,You Know Who,2011-09-28T10:36:44.000000Z
7300277,Monaspa,2013-12-30T06:32:04.000000Z
8261114,496 Gaming,2015-06-12T21:23:06.000000Z
5172824,找队3 4,2013-11-15T07:59:07.000000Z
7003736,Futbolist,2020-03-25T13:33:54.973Z
7080124,Team Blink,2015-10-12T18:14:51.000000Z
2576315,UC Davis Aggies,2017-10-20T23:11:36.332Z
5246530,᠌᠌᠌᠌ ᠌᠌᠌,2018-07-27T02:04:37.344Z
7682860,HaliHydra,2021-10-06T16:27:48.057Z
8597391,CHILLAX,2019-06-07T11:32:19.268Z
7610833,mcc,2015-01-10T17:16:06.000000Z
964214,Cygnvs Gaming,2014-07-31T14:56:30.000000Z
7451763,TX4,2021-10-07T09:26:02.495Z
7894580,miaww^^,2019-05-17T15:30:04.059Z
7996429,Team Veteran,2020-05-26T17:56:33.479Z
7747208,ro,2020-06-22T20:44:32.002Z
8344564,Yungi,2018-12-27T21:11:48.734Z
3739469,1 palec,2014-05-15T02:07:40.000000Z
3351667,.,2018-03-17T13:27:47.729Z
7699126,Step on Me,2019-06-12T16:20:06.811Z
6982031,LFT,2020-06-24T04:53:25.399Z
8113462,x,2013-01-07T03:21:39.000000Z
7763895,Dangerous Criminals,2017-12-19T02:01:29.000000Z
7566414,IMG,2018-12-28T23:32:16.514Z
2833068,GodGenesis,2021-04-22T07:19:56.099Z
7639736,Team Sneed,2019-09-03T11:27:01.263Z
7577645,Anoobs Gaming,2013-04-30T07:28:35.000000Z
8598880,Nova,2012-03-26T08:57:58.000000Z
8598757,The Brood,2020-06-08T15:52:58.389Z
726228,Vici Gaming,2015-09-11T09:37:39.000000Z
6520439,Anime11.Esports,2018-09-07T21:50:32.018Z
7234047,DIMECOL E-SPORTS,2019-06-03T15:12:40.649Z
8599005,Team Banane,2013-08-22T21:56:47.000000Z
6952364,Goblin Legs,2018-10-26T23:51:50.377Z
8598364,Typical NA,2019-10-13T23:21:43.304Z
7453020,Aster.Aries,2015-08-15T23:56:52.000000Z
7684707,funny team,2020-05-04T09:33:38.044Z
6210979,·,2015-12-15T20:24:09.000000Z
4282493,Drago,2018-01-30T02:21:10.000000Z
7609792,asdf,2012-06-05T11:50:53.000000Z
8244493,Team SMG,2017-03-08T06:54:19.075Z
7421942,Resurgence,2018-02-22T21:15:11.904Z
8080796,SHADOWNET,2021-08-15T10:45:55.817Z
8597898,Zkr,2011-03-24T02:21:15.000000Z
8598406,Dai dream team,2014-01-23T04:22:32.000000Z
